locus_name	id	strand	chrom	start	end	strand	nfeats	width	model_cov	ltr5_model	int_model	ltr3_model	family
HERVL_1p35.2a	HERVL_0004	prototype	chr1	30267047	30272893	+	5	5846	4855	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p35.2	HERVH_0007	prototype	chr1	30676524	30681960	+	7	5436	4658	LTR7B	HERVH-int	LTR7B	HERVH
HERVL_1p35.2b	HERVL_0005	oneside	chr1	31983445	31984513	+	2	1068	637		HERVL-int	MLT2A1	HERVL
HERVH_1p35.1	HERVH_0008	prototype	chr1	32897937	32903639	+	8	5702	4890	LTR7	HERVH-int	LTR7	HERVH
HERVS71_1p35.1	HERVS71_0001	oneside	chr1	33389451	33392515	-	2	3064	2467	LTR6A	HERVS71-int		HERVS71
HERVH_1p34.3a	HERVH_0009	prototype	chr1	35097560	35102350	-	8	4790	4483	LTR7A	HERVH-int	LTR7B	HERVH
HERVH_1p34.3b	HERVH_0010	oneside	chr1	35597625	35603626	-	4	6001	5723	LTR7	HERVH-int		HERVH
HERV3_1p34.3	HERV3_0003	internal	chr1	35607515	35612165	-	6	4650	4356		HERV3-int		HERV3
HERVL_1p34.3a	HERVL_0006	internal	chr1	35761266	35762928	-	4	1662	1020		HERVL-int		HERVL
HERVFH21_1p34.3	HERVFH21_0003	prototype	chr1	36795461	36802943	+	8	7482	4775	LTR21B	HERVFH21-int	LTR21B	HERVFH21
HML2_1p34.3	HML2_0004	oneside	chr1	36954584	36956728	-	3	2144	1195		HERVK-int	LTR5_Hs	HML2
HERVL_1p34.3b	HERVL_0007	prototype	chr1	37830635	37837241	+	3	6606	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p34.3c	HERVH_0011	prototype	chr1	38373486	38379845	+	9	6359	4989	LTR7B	HERVH-int	LTR7B	HERVH
HERVL_1p34.3c	HERVL_0008	prototype	chr1	38610066	38616594	+	4	6528	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p34.3d	HERVH_0012	prototype	chr1	38890785	38896451	+	8	5666	4887	LTR7	HERVH-int	LTR7	HERVH
HERVW_1p34.2	HERVW_0001	oneside	chr1	42410126	42415980	+	3	5854	5562		HERV17-int	LTR17	HERVW
HERVH_1p34.2a	HERVH_0013	prototype	chr1	43322382	43325555	+	4	3173	1892	LTR7C	HERVH-int	LTR7C	HERVH
HERVL_1p34.2	HERVL_0009	oneside	chr1	43331936	43335914	+	2	3978	3550		HERVL-int	MLT2A2	HERVL
HERVH_1p34.2b	HERVH_0014	prototype	chr1	43551204	43556828	+	8	5624	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p34.1	HERVH_0015	oneside	chr1	45781645	45786155	+	4	4510	4499	LTR7	HERVH-int		HERVH
MER61_1p34.1a	MER61_0002	oneside	chr1	46038819	46041247	-	3	2428	1599		MER61-int	MER61B	MER61
MER61_1p34.1b	MER61_0003	internal	chr1	46041552	46046034	-	8	4482	1651		MER61-int		MER61
HERVW_1p33a	HERVW_0002	prototype	chr1	46851453	46856998	-	6	5545	4378	LTR17	HERV17-int	LTR17	HERVW
HERVW_1p33b	HERVW_0003	oneside*	chr1	47412273	47424579	+	9	12306	9275		HERV17-int	LTR17	HERVW
HERVW_1p33c	HERVW_0004	internal	chr1	47595485	47596964	-	1	1479	1418		HERV17-int		HERVW
HERVFRD_1p33	HERVFRD_0002	prototype	chr1	48652020	48657294	-	7	5274	3968	MER50	MER50-int	MER50	HERVFRD
HERVH_1p33	HERVH_0016	prototype	chr1	48674673	48680493	-	8	5820	4888	LTR7	HERVH-int	LTR7	HERVH
HERV9_1p33	HERV9_0002	prototype	chr1	48903575	48910530	+	7	6955	4944	LTR12B	HERV9-int	LTR12	HERV9
HML3_1p33	HML3_0007	prototype	chr1	48978916	48985928	-	3	7012	6020	MER9a1	HERVK9-int	MER9a1	HML3
HERVL_1p33a	HERVL_0010	oneside	chr1	49905176	49907748	+	4	2572	1815	MLT2A1	HERVL-int		HERVL
HERVL_1p33b	HERVL_0011	prototype	chr1	50038404	50044959	+	4	6555	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_1p33c	HERVL_0012	prototype	chr1	50631505	50635059	-	5	3554	2733	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVW_1p32.3a	HERVW_0005	oneside	chr1	51692646	51696169	+	8	3523	3199		HERV17-int	LTR17	HERVW
HERVI_1p32.3	HERVI_0001	prototype	chr1	52682684	52691277	-	4	8593	7782	LTR10B1	HERVI-int	LTR10B1	HERVI
HERVH_1p32.3a	HERVH_0017	prototype	chr1	53890008	53895701	+	7	5693	4665	LTR7B	HERVH-int	LTR7B	HERVH
HERVH_1p32.3b	HERVH_0018	prototype	chr1	53898552	53900850	+	3	2298	2138	LTR7	HERVH-int	LTR7	HERVH
HML3_1p32.3	HML3_0008	prototype	chr1	55095959	55101793	+	6	5834	5257	MER9a1	HERVK9-int	MER9a1	HML3
HERVH_1p32.3c	HERVH_0019	prototype	chr1	55363576	55369257	-	8	5681	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p32.3d	HERVH_0020	oneside	chr1	55372544	55376530	-	3	3986	3227		HERVH-int	LTR7	HERVH
HERVW_1p32.3b	HERVW_0006	prototype	chr1	55376681	55385198	-	5	8517	6780	LTR17	HERV17-int	LTR17	HERVW
HERVH_1p32.3e	HERVH_0021	prototype	chr1	55488380	55494042	+	6	5662	4832	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p32.2a	HERVL_0013	oneside	chr1	56194716	56200602	+	3	5886	4998		HERVL-int	MLT2A1	HERVL
HERVW_1p32.2	HERVW_0007	prototype	chr1	56248856	56254641	-	6	5785	3940	LTR17	HERV17-int	LTR17	HERVW
HERVL_1p32.2b	HERVL_0014	prototype	chr1	58022695	58036103	+	5	13408	5663	MLT2A1	HERVL-int	MLT2A1	HERVL
HERV9_1p32.2a	HERV9_0003	prototype	chr1	58156762	58159572	+	6	2810	1493	LTR12	HERV9-int	LTR12	HERV9
HERV9_1p32.2b	HERV9_0004	prototype	chr1	58632831	58641150	+	5	8319	6645	LTR12	HERV9-int	LTR12	HERV9
HERVL_1p32.1	HERVL_0015	oneside	chr1	60712420	60715292	+	3	2872	2356		HERVL-int	MLT2A1	HERVL
HERVL_1p31.3a	HERVL_0016	internal	chr1	61997993	61999288	-	2	1295	961		HERVL-int		HERVL
HML1_1p31.3	HML1_0001	prototype	chr1	62644135	62649461	-	6	5326	4675	LTR14A	HERVK14-int	LTR14A	HML1
HERV9_1p31.3a	HERV9_0005	prototype	chr1	63218927	63228332	+	4	9405	5705	LTR12C	HERV9-int	LTR12C	HERV9
HERVH_1p31.3a	HERVH_0022	oneside	chr1	64038414	64040570	-	5	2156	1831		HERVH-int	LTR7	HERVH
HERVL18_1p31.3a	HERVL18_0001	prototype	chr1	64652289	64658445	+	4	6156	5466	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVH_1p31.3b	HERVH_0023	prototype	chr1	64815625	64821444	-	8	5819	4881	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.3c	HERVH_0024	prototype	chr1	66108889	66113717	-	5	4828	6420	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p31.3b	HERVL_0017	oneside	chr1	66393222	66396058	-	2	2836	2475	MLT2A1	HERVL-int		HERVL
HERVL18_1p31.3b	HERVL18_0002	oneside*	chr1	66847476	66849375	+	7	1899	1217		HERVL18-int	LTR18A	HERVL18
HERV9_1p31.3b	HERV9_0006	oneside	chr1	66882669	66892052	-	4	9383	8203		HERV9-int	LTR12F	HERV9
HERVL_1p31.3c	HERVL_0018	oneside	chr1	67754070	67758433	+	3	4363	3951	MLT2A1	HERVL-int		HERVL
HERVH_1p31.3d	HERVH_0025	prototype	chr1	68851686	68857675	+	9	5989	5110	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1a	HERVH_0026	prototype	chr1	70833311	70839707	+	8	6396	6319	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p31.1a	HERVL_0019	oneside	chr1	71025152	71027727	-	2	2575	2107		HERVL-int	MLT2A2	HERVL
HERVH_1p31.1b	HERVH_0027	prototype	chr1	71054119	71059674	+	8	5555	4887	LTR7	HERVH-int	LTR7	HERVH
HERVL18_1p31.1a	HERVL18_0003	prototype	chr1	71093640	71096968	+	7	3328	3175	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVFRD_1p31.1a	HERVFRD_0003	prototype	chr1	71801824	71808901	-	6	7077	4887	MER50	MER50-int	MER50	HERVFRD
HERVL_1p31.1b	HERVL_0020	prototype	chr1	72778375	72784809	-	4	6434	5651	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVFRD_1p31.1b	HERVFRD_0004	prototype	chr1	73154172	73160498	-	8	6326	5638	MER50	MER50-int	MER50	HERVFRD
HERVL_1p31.1c	HERVL_0021	internal	chr1	73343090	73343813	+	2	723	717		HERVL-int		HERVL
HERVH_1p31.1c	HERVH_0028	prototype	chr1	73446128	73451173	-	8	5045	4286	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1d	HERVH_0029	prototype	chr1	73453483	73459285	-	8	5802	4883	LTR7	HERVH-int	LTR7	HERVH
HERV9_1p31.1	HERV9_0007	prototype	chr1	75205716	75211328	-	7	5612	3720	LTR12	HERV9-int	LTR12	HERV9
HML2_1p31.1	HML2_0005	prototype	chr1	75842770	75849143	+	5	6373	4433	LTR5_Hs	HERVK-int	LTR5_Hs	HML2
HERVL_1p31.1d	HERVL_0022	prototype	chr1	77340071	77346502	-	3	6431	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p31.1e	HERVH_0030	prototype	chr1	77360497	77366072	-	8	5575	4883	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p31.1e	HERVL_0023	prototype	chr1	77647916	77655531	+	5	7615	5652	MLT2A2	HERVL-int	MLT2A1	HERVL
HERVS71_1p31.1	HERVS71_0002	prototype	chr1	78664593	78666312	+	4	1719	1087	LTR6B	HERVS71-int	LTR6B	HERVS71
HERVH_1p31.1f	HERVH_0031	prototype	chr1	79337871	79346600	+	3	8729	7712	LTR7B	HERVH-int	LTR7B	HERVH
MER61_1p31.1a	MER61_0004	prototype	chr1	79431803	79437369	+	6	5566	4362	MER61A	MER61-int	MER61A	MER61
HERVH_1p31.1g	HERVH_0032	prototype	chr1	79954292	79959808	-	8	5516	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1h	HERVH_0033	prototype	chr1	80104446	80110172	-	8	5726	4890	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1i	HERVH_0034	prototype	chr1	80162031	80167747	-	8	5716	4889	LTR7Y	HERVH-int	LTR7Y	HERVH
HERVL_1p31.1f	HERVL_0024	prototype	chr1	80393609	80399873	+	5	6264	5386	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL18_1p31.1b	HERVL18_0004	prototype	chr1	80515902	80520273	+	11	4371	2180	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVL_1p31.1g	HERVL_0025	prototype	chr1	81040133	81042047	-	3	1914	1604	MLT2A2	HERVL-int	MLT2A2	HERVL
MER61_1p31.1b	MER61_0005	prototype	chr1	81099035	81104333	+	5	5298	4603	MER61A	MER61-int	MER61A	MER61
HERVH_1p31.1j	HERVH_0035	prototype	chr1	81710967	81716892	+	7	5925	5044	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1k	HERVH_0036	prototype	chr1	82533246	82538520	-	8	5274	4884	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1l	HERVH_0037	prototype	chr1	82820251	82826239	-	9	5988	5187	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p31.1m	HERVH_0038	prototype	chr1	83420993	83427277	+	7	6284	5539	LTR7	HERVH-int	LTR7	HERVH
HERVH48_1p22.3	HERVH48_0001	oneside	chr1	86805052	86809272	+	2	4220	3926	MER48	HERVH48-int		HERVH48
HERVL18_1p22.3	HERVL18_0005	prototype	chr1	86875032	86882363	-	5	7331	6042	LTR18A	HERVL18-int	LTR18A	HERVL18
HERVL_1p22.3	HERVL_0026	oneside	chr1	86977575	86980635	+	2	3060	2631		HERVL-int	MLT2A1	HERVL
HERV9_1p22.3	HERV9_0008	prototype	chr1	87267300	87275603	-	5	8303	5281	LTR12D	HERV9-int	LTR12D	HERV9
HERVL_1p22.2a	HERVL_0027	prototype	chr1	89061515	89068412	+	5	6897	5652	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL_1p22.2b	HERVL_0028	prototype	chr1	89363338	89370171	+	5	6833	5652	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVW_1p22.2a	HERVW_0008	prototype	chr1	89390211	89397564	+	5	7353	6307	LTR17	HERV17-int	LTR17	HERVW
MER61_1p22.2a	MER61_0006	internal	chr1	89644042	89644841	+	1	799	793		MER61-int		MER61
MER61_1p22.2b	MER61_0007	oneside	chr1	89778455	89782014	-	4	3559	2864		MER61-int	MER61B	MER61
HERVL_1p22.2c	HERVL_0029	oneside	chr1	89810726	89814876	+	2	4150	3853		HERVL-int	MLT2A2	HERVL
HERVL_1p22.2d	HERVL_0030	oneside	chr1	89902907	89909243	-	3	6336	4889	MLT2A2	HERVL-int		HERVL
HERVL_1p22.2e	HERVL_0031	oneside	chr1	91505433	91507287	+	2	1854	1129	MLT2A1	HERVL-int		HERVL
HERVL_1p22.2f	HERVL_0032	oneside	chr1	91507519	91511802	+	5	4283	3516		HERVL-int	MLT2A1	HERVL
HERVL_1p22.2g	HERVL_0033	oneside	chr1	91520891	91522525	-	2	1634	1194		HERVL-int	MLT2A2	HERVL
HERVW_1p22.2b	HERVW_0009	oneside	chr1	91644688	91646698	+	3	2010	1658		HERV17-int	LTR17	HERVW
HML5_1p22.2	HML5_0001	prototype	chr1	91683159	91686881	+	4	3722	4447	LTR22A	HERVK22-int	LTR22A	HML5
HERVL_1p22.2h	HERVL_0034	prototype	chr1	91926226	91934870	-	8	8644	5649	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_1p22.1a	HERVL_0035	prototype	chr1	93079948	93085062	+	6	5114	4166	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p22.1	HERVH_0039	prototype	chr1	94295892	94302644	+	7	6752	5139	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p22.1b	HERVL_0036	prototype	chr1	94627182	94632777	-	7	5595	4429	MLT2A1	HERVL-int	MLT2A1	HERVL
HERV9_1p21.3a	HERV9_0009	prototype	chr1	94837315	94844341	-	4	7026	5841	LTR12B	HERV9-int	LTR12	HERV9
HML3_1p21.3	HML3_0009	prototype	chr1	94910375	94916345	+	5	5970	5046	MER9a3	HERVK9-int	MER9a3	HML3
HERVH_1p21.3a	HERVH_0040	prototype	chr1	95032033	95038382	-	8	6349	5272	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p21.3a	HERVL_0037	oneside	chr1	96110136	96113967	-	2	3831	3420		HERVL-int	MLT2A1	HERVL
HERV9_1p21.3b	HERV9_0010	prototype	chr1	96613226	96618993	+	5	5767	3757	LTR12	HERV9-int	LTR12	HERV9
MER61_1p21.3	MER61_0008	oneside	chr1	96618993	96623378	-	5	4385	3963	MER61C	MER61-int		MER61
HERVL_1p21.3b	HERVL_0038	oneside	chr1	97873089	97874710	+	2	1621	1093		HERVL-int	MLT2A2	HERVL
HERVH_1p21.3b	HERVH_0041	prototype	chr1	99266610	99272414	-	7	5804	5078	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p21.2a	HERVH_0042	prototype	chr1	99975066	99980923	+	7	5857	5046	LTR7	HERVH-int	LTR7	HERVH
HERVL_1p21.2	HERVL_0039	oneside	chr1	101824684	101828102	-	2	3418	2998		HERVL-int	MLT2A1	HERVL
HERV9_1p21.2	HERV9_0011	prototype	chr1	101964536	101971852	+	4	7316	5679	LTR12F	HERV9-int	LTR12B	HERV9
HERVH_1p21.2b	HERVH_0043	prototype	chr1	102062785	102068998	-	7	6213	5731	LTR7	HERVH-int	LTR7	HERVH
HERVFRD_1p21.1a	HERVFRD_0005	prototype	chr1	102511355	102513222	+	3	1867	1119	MER50C	MER50-int	MER50C	HERVFRD
HERVI_1p21.1	HERVI_0002	prototype	chr1	102551285	102558444	-	3	7159	6656	LTR10B1	HERVI-int	LTR10B1	HERVI
HERVL_1p21.1a	HERVL_0040	oneside	chr1	103022501	103023546	-	2	1045	728		HERVL-int	MLT2A2	HERVL
HERVL_1p21.1b	HERVL_0041	internal	chr1	103100703	103101783	-	3	1080	718		HERVL-int		HERVL
HERV9_1p21.1a	HERV9_0012	prototype	chr1	103209416	103215431	-	6	6015	4652	LTR12_	HERV9-int	LTR12	HERV9
HML6_1p21.1a	HML6_0001	prototype	chr1	103298829	103306777	+	5	7948	6324	LTR3	HERVK3-int	LTR3	HML6
HERVL_1p21.1c	HERVL_0042	prototype	chr1	103732314	103738763	+	6	6449	5535	MLT2A1	HERVL-int	MLT2A1	HERVL
MER61_1p21.1a	MER61_0009	internal	chr1	104132391	104136555	-	2	4164	4465		MER61-int		MER61
MER61_1p21.1b	MER61_0010	internal	chr1	104168485	104171335	-	2	2850	3110		MER61-int		MER61
MER61_1p21.1c	MER61_0011	internal	chr1	104207253	104209030	-	1	1777	2035		MER61-int		MER61
MER61_1p21.1d	MER61_0012	internal	chr1	104228182	104229959	+	1	1777	2035		MER61-int		MER61
MER61_1p21.1e	MER61_0013	internal	chr1	104262610	104265460	-	2	2850	3110		MER61-int		MER61
MER61_1p21.1f	MER61_0014	internal	chr1	104301391	104303170	-	1	1779	2035		MER61-int		MER61
HERVFRD_1p21.1b	HERVFRD_0006	oneside	chr1	104678334	104680357	+	2	2023	1545	MER50	MER50-int		HERVFRD
HERVH_1p21.1a	HERVH_0044	prototype	chr1	104922744	104931261	+	3	8517	7712	LTR7C	HERVH-int	LTR7C	HERVH
HERVL_1p21.1d	HERVL_0043	prototype	chr1	105098221	105104819	+	5	6598	5472	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_1p21.1e	HERVL_0044	internal	chr1	105120685	105125514	-	3	4829	4167		HERVL-int		HERVL
HERVH_1p21.1b	HERVH_0045	prototype	chr1	105139557	105145391	+	6	5834	5559	LTR7B	HERVH-int	LTR7	HERVH
HML6_1p21.1b	HML6_0002	oneside	chr1	105275162	105276507	+	4	1345	882	LTR3B_	HERVK3-int		HML6
HERV9_1p21.1b	HERV9_0013	prototype	chr1	105651613	105658626	+	5	7013	5576	LTR12	HERV9-int	LTR12	HERV9
HERVL18_1p21.1	HERVL18_0006	oneside	chr1	105680097	105681114	-	2	1017	675		HERVL18-int	LTR18B	HERVL18
HERVL_1p21.1f	HERVL_0045	prototype	chr1	106064667	106071291	-	6	6624	5535	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVL_1p21.1g	HERVL_0046	prototype*	chr1	106295451	106302343	+	6	6892	5666	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_1p21.1h	HERVL_0047	oneside	chr1	106352395	106353843	-	4	1448	795	MLT2A2	HERVL-int		HERVL
MER61_1p21.1g	MER61_0015	prototype	chr1	106887094	106892016	-	4	4922	4127	MER61A	MER61-int	MER61A	MER61
HERVL_1p21.1i	HERVL_0048	prototype	chr1	107127915	107134189	-	3	6274	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVL_1p13.3a	HERVL_0049	internal	chr1	108111136	108113071	+	1	1935	1991		HERVL-int		HERVL
HERVL_1p13.3b	HERVL_0050	prototype	chr1	108561319	108566097	-	5	4778	4067	MLT2A2	HERVL-int	MLT2A2	HERVL
HERVH_1p13.3	HERVH_0046	prototype	chr1	109015911	109021219	+	8	5308	4890	LTR7	HERVH-int	LTR7	HERVH
HML6_1p13.3	HML6_0003	oneside	chr1	110268138	110269791	+	2	1653	1258	LTR3	HERVK3-int		HML6
HERVW_1p13.3	HERVW_0010	prototype	chr1	110394854	110400764	-	6	5910	4856	LTR17	HERV17-int	LTR17	HERVW
HERVL_1p13.2a	HERVL_0051	prototype	chr1	112668624	112675229	-	4	6605	5653	MLT2A1	HERVL-int	MLT2A1	HERVL
HERVH_1p13.2a	HERVH_0047	prototype	chr1	113352288	113357947	+	10	5659	4547	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p13.2b	HERVH_0048	prototype	chr1	113362766	113368676	-	8	5910	4968	LTR7	HERVH-int	LTR7	HERVH
HERVH_1p13.2c	HERVH_0049	oneside	chr1	114572293	114575106	+	4	2813	2828		HERVH-int	LTR7	HERVH
HERVL_1p13.2b	HERVL_0052	prototype	chr1	114607739	114614602	-	5	6863	5652	MLT2A1	HERVL-int	MLT2A1	HERVL
MER61_1p13.2a	MER61_0016	oneside	chr1	115372494	115375535	-	3	3041	2343	MER61A	MER61-int		MER61
MER61_1p13.2b	MER61_0017	prototype	chr1	115439430	115445287	-	6	5857	4953	MER61A	MER61-int	MER61A	MER61
HERVL_1p13.2c	HERVL_0053	oneside	chr1	115547906	115552266	-	3	4360	3619		HERVL-int	MLT2A2	HERVL
HERVL_1p13.2d	HERVL_0054	internal	chr1	115552258	115553654	+	2	1396	1099		HERVL-int		HERVL
HERVH_1p13.2d	HERVH_0050	prototype	chr1	116051761	116058068	-	6	6307	5934	LTR7	HERVH-int	LTR7	HERVH
MER61_1p13.1	MER61_0018	prototype	chr1	116129807	116135632	+	4	5825	5082	MER61B	MER61-int	MER61B	MER61
HERVI_1p13.1	HERVI_0003	oneside	chr1	117286113	117288846	+	2	2733	2207	LTR10B1	HERVI-int		HERVI
HERVH_1p13.1	HERVH_0051	prototype	chr1	117404968	117411017	+	5	6049	5094	LTR7B	HERVH-int	LTR7B	HERVH
HERVL18_1p12	HERVL18_0007	prototype	chr1	118357967	118364632	-	3	6665	6046	LTR18A	HERVL18-int	LTR18A	HERVL18
HERV9_1p12a	HERV9_0014	prototype	chr1	118768174	118776056	+	4	7882	6831	LTR12F	HERV9-int	LTR12F	HERV9
HERVL_1p12a	HERVL_0055	internal	chr1	118877996	118879101	-	1	1105	1137		HERVL-int		HERVL
HERVW_1p12	HERVW_0011	prototype	chr1	119710921	119725894	-	7	14973	5132	LTR17	HERV17-int	LTR17	HERVW
HERV9_1p12b	HERV9_0015	prototype	chr1	119713986	119723014	+	5	9028	5913	LTR12C	HERV9-int	LTR12C	HERV9
HERVL_1p12b	HERVL_0056	oneside	chr1	120544125	120546097	+	3	1972	1469		HERVL-int	MLT2A1	HERVL
HERV9_1p11.2	HERV9_0016	prototype	chr1	121251840	121255981	+	5	4141	2329	LTR12_	HERV9-int	LTR12_	HERV9
HML1_1q12	HML1_0002	oneside	chr1	142592201	142594258	+	3	2057	1780	LTR14A	HERVK14-int		HML1
HML3_1q12	HML3_0010	oneside	chr1	142594258	142598063	+	4	3805	3347	MER9a2	HERVK9-int		HML3
HML3_1q21.1a	HML3_0011	oneside	chr1	142911662	142915536	-	4	3874	3347	MER9a2	HERVK9-int		HML3
HML1_1q21.1a	HML1_0003	oneside	chr1	142915536	142917666	-	3	2130	1871	LTR14A	HERVK14-int		HML1
HML3_1q21.1b	HML3_0012	oneside	chr1	143488380	143492190	-	4	3810	3346	MER9a2	HERVK9-int		HML3
HML1_1q21.1b	HML1_0004	oneside	chr1	143492190	143494249	-	3	2059	1780	LTR14A	HERVK14-int		HML1
HERVH_1q21.1a	HERVH_0052	oneside	chr1	144296390	144298076	+	4	1686	1255		HERVH-int	LTR7	HERVH
HERVH_1q21.1b	HERVH_0053	oneside	chr1	144476622	144478305	+	4	1683	1252		HERVH-int	LTR7	HERVH
HERVL_1q21.1a	HERVL_0057	oneside	chr1	145275298	145277249	-	3	1951	1469		HERVL-int	MLT2A1	HERVL
HERVL_1q21.1b	HERVL_0058	oneside	chr1	146619167	146620264	+	2	1097	596	MLT2A1	HERVL-int		HERVL
HERVL18_1q21.2	HERVL18_0008	prototype	chr1	147189276	147191810	+	8	2534	1124	LTR18B	HERVL18-int	LTR18B	HERVL18
